time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-10-14T08:39:29.300Z,33.6465,-116.722,15.38,1.23,ml,47,34,0.06331,0.28,ci,ci37278952,2014-10-14T08:43:28.530Z,"10km S of Idyllwild-Pine Cove, California",earthquake
2014-10-14T08:38:03.190Z,35.7319984,-121.1204987,6.96,1.71,md,14,56,0.0566,0.04,nc,nc72326876,2014-10-14T12:23:07.800Z,"11km NNE of San Simeon, California",earthquake
2014-10-14T08:35:19.600Z,-30.0792,-177.5004,10,5.2,mb,,71,0.911,1.6,us,usb000slyn,2014-10-14T08:54:54.000Z,"97km SSE of Raoul Island, New Zealand",earthquake
2014-10-14T08:27:52.230Z,38.4097,-118.34,8.84,0.39,ml,5,106.87,0.018,,nn,nn00463918,2014-10-14T08:30:33.152Z,"27km ESE of Hawthorne, Nevada",earthquake
2014-10-14T08:24:06.260Z,37.475,-118.7797,5.14,0.29,ml,7,158.98,0.044,,nn,nn00463917,2014-10-14T08:26:09.382Z,"25km SE of Mammoth Lakes, California",earthquake
2014-10-14T08:22:03.320Z,38.824501,-122.795166,3.45,1.17,md,23,51,0.0117,0.03,nc,nc72326866,2014-10-14T11:56:04.926Z,"6km W of Cobb, California",earthquake
2014-10-14T07:52:23.000Z,65.1396,-149.0352,7,1.2,ml,,,,0.48,ak,ak11417999,2014-10-14T08:11:28.505Z,"58km NW of Ester, Alaska",earthquake
2014-10-14T07:40:38.000Z,63.6014,-146.9905,0.6,1.4,ml,,,,0.75,ak,ak11417979,2014-10-14T08:11:24.434Z,"78km SW of Delta Junction, Alaska",earthquake
2014-10-14T07:24:14.290Z,37.4806671,-118.7884979,6.39,1.38,md,9,160,0.05362,0.03,nc,nc72326856,2014-10-14T11:27:06.856Z,"24km SE of Mammoth Lakes, California",earthquake
2014-10-14T07:13:37.160Z,37.4761658,-118.7941666,6.88,1.78,md,10,89,0.1393,0.07,nc,nc72326846,2014-10-14T10:58:08.810Z,"24km SE of Mammoth Lakes, California",earthquake
2014-10-14T07:13:31.550Z,37.4768333,-118.69767,1.8,2.31,md,7,125,0.02194,0.25,nc,nc72326841,2014-10-14T10:28:05.634Z,"25km SE of Mammoth Lakes, California",earthquake
2014-10-14T07:13:00.210Z,38.8098335,-122.8118362,2.79,0.63,md,7,190,0.01305,0.03,nc,nc72326836,2014-10-14T09:59:07.628Z,"6km NW of The Geysers, California",earthquake
2014-10-14T07:10:28.400Z,37.4692,-118.7852,8.78,0.2,ml,6,158.98,0.044,,nn,nn00463910,2014-10-14T07:11:44.352Z,"25km SE of Mammoth Lakes, California",earthquake
2014-10-14T07:01:26.950Z,33.6001667,-116.6103333,17.15,0.62,ml,16,117,0.01212,0.19,ci,ci37278936,2014-10-14T07:05:10.900Z,"7km NE of Anza, California",earthquake
2014-10-14T06:49:44.670Z,38.8103333,-122.795166,3.68,0.67,md,13,104,0.002364,0.02,nc,nc72326826,2014-10-14T07:16:04.135Z,"4km NW of The Geysers, California",earthquake
2014-10-14T06:44:36.163Z,39.232,-120.1034,8.4124,0.22,ml,9,139.5,0.03,0.0928,nn,nn00463937,2014-10-14T13:30:20.292Z,"4km W of Tahoe Vista, California",earthquake
2014-10-14T06:34:11.000Z,63.1402,-149.7878,98.9,1.8,ml,,,,0.61,ak,ak11417915,2014-10-14T06:57:34.219Z,"50km WSW of Cantwell, Alaska",earthquake
2014-10-14T06:26:19.560Z,36.629,-97.8763,5,3.4,mb_lg,,23,0.151,0.56,us,usb000slyd,2014-10-14T12:24:37.252Z,"23km SSW of Medford, Oklahoma",earthquake
2014-10-14T06:25:09.660Z,38.840168,-122.7416687,1.51,1.77,md,20,228,0.01495,0.05,nc,nc72326811,2014-10-14T09:30:08.498Z,"2km NW of Cobb, California",earthquake
2014-10-14T06:21:13.870Z,34.0273333,-117.1638333,8.1,0.61,ml,18,64,0.04347,0.25,ci,ci37278928,2014-10-14T06:24:59.810Z,"3km SSE of Redlands, California",earthquake
2014-10-14T06:12:23.000Z,61.1189,-150.7372,52.4,1.7,ml,,,,0.3,ak,ak11417891,2014-10-14T06:38:53.919Z,"46km WSW of Anchorage, Alaska",earthquake
2014-10-14T06:08:29.000Z,60.1675,-141.2879,0.6,1.7,ml,,,,0.81,ak,ak11417890,2014-10-14T06:38:53.346Z,"64km E of Cape Yakataga, Alaska",earthquake
2014-10-14T06:06:16.010Z,38.8126678,-122.8106689,2.92,1.39,md,29,44,0.01072,0.03,nc,nc72326806,2014-10-14T09:03:10.624Z,"6km NW of The Geysers, California",earthquake
2014-10-14T05:46:11.040Z,33.9011667,-116.884,13.12,1.06,ml,38,42,0.08281,0.25,ci,ci37278920,2014-10-14T05:57:35.280Z,"2km SSW of Banning, California",earthquake
2014-10-14T05:40:12.780Z,39.6468315,-123.5306702,2.62,1.97,md,9,125,0.05613,0.01,nc,nc72326801,2014-10-14T13:42:48.216Z,"6km SW of Laytonville, California",earthquake
